company,location,industry,total_laid_off,percentage_laid_off,date,country,mass_layoff
Avo,Tel Aviv,Food,500.0,0.67,2022-05-01,Israel,1
Domestika,SF Bay Area,Education,150.0,0.19,2022-04-28,United States,1
Robinhood,SF Bay Area,Finance,340.0,0.09,2022-04-26,United States,1
Bonsai,Toronto,Retail,29.0,0.34,2022-04-26,Canada,0
Xiaohongshu,Shanghai,Consumer,180.0,0.09,2022-04-21,China,1
Facily,Sao Paulo,Retail,260.0,0.3,2022-04-20,Brazil,1
Blend,SF Bay Area,Finance,200.0,0.1,2022-04-19,United States,1
QuintoAndar,Sao Paulo,Real Estate,160.0,0.04,2022-04-19,Brazil,1
Ahead,SF Bay Area,Healthcare,44.0,1.0,2022-04-14,United States,0
Rad Power Bikes,Seattle,Transportation,100.0,0.14,2022-04-12,United States,1
Food52,New York City,Food,20.0,0.1,2022-04-08,United States,0
Unacademy,Bengaluru,Education,1000.0,0.17,2022-04-07,India,1
BitMEX,Non-U.S.,Crypto,75.0,0.25,2022-04-04,Seychelles,1
Legible,Vancouver,Media,23.0,0.38,2022-04-04,Canada,0
