company,location,industry,total_laid_off,percentage_laid_off,date,country
PayU,Amsterdam,Finance,150.0,0.06,2022-12-26,Netherlands
Willow,Sydney,Real Estate,99.0,0.22,2022-12-23,Australia
Back Market,Paris,Retail,93.0,0.13,2022-12-23,France
TuSimple,San Diego,Transportation,350.0,0.25,2022-12-21,United States
Chope,Singapore,Food,65.0,0.24,2022-12-20,Singapore
Briza,Toronto,Finance,26.0,0.4,2022-12-20,Canada
Homebot,Denver,Real Estate,18.0,0.13,2022-12-19,United States
Tomorrow,Hamburg,Finance,30.0,0.25,2022-12-16,Germany
Revelate,Montreal,Data,24.0,0.3,2022-12-16,Canada
BigCommerce,Austin,Retail,180.0,0.13,2022-12-15,United States
Freshworks,SF Bay Area,Support,90.0,0.02,2022-12-15,United States
LeafLink,New York City,Other,80.0,0.31,2022-12-15,United States
Workmotion,Berlin,HR,60.0,0.2,2022-12-15,United States
JD.ID,Jakarta,Retail,200.0,0.3,2022-12-14,Indonesia
Headspace,Los Angeles,Healthcare,50.0,0.04,2022-12-14,United States
ChowNow,Los Angeles,Food,40.0,0.1,2022-12-14,United States
Thumbtack,SF Bay Area,Consumer,160.0,0.14,2022-12-13,United States
Edgio,Phoenix,Infrastructure,95.0,0.1,2022-12-13,United States
Komodo Health,SF Bay Area,Healthcare,78.0,0.09,2022-12-13,United States
Viant,Los Angeles,Marketing,46.0,0.13,2022-12-13,United States
Pluralsight,Salt Lake City,Education,400.0,0.2,2022-12-12,United States
Outschool,SF Bay Area,Education,43.0,0.25,2022-12-10,United States
Xentral,Munich,Product,20.0,0.1,2022-12-10,Germany
Playtika,Tel Aviv,Consumer,600.0,0.15,2022-12-09,Israel
Share Now,Berlin,Transportation,150.0,0.36,2022-12-09,Germany
Alice,Sao Paulo,Healthcare,113.0,0.16,2022-12-09,Brazil
