company,location,industry,total_laid_off,percentage_laid_off,date,country
Bizpay,Sydney,Finance,,0.3,2022-05-04,Australia
Thrasio,Boston,Retail,,,2022-05-02,United States
Avo,Tel Aviv,Food,500.0,0.67,2022-05-01,Israel
Noom,New York City,Healthcare,495.0,,2022-04-29,United States
Domestika,SF Bay Area,Education,150.0,0.19,2022-04-28,United States
Netflix,SF Bay Area,Media,25.0,,2022-04-28,United States
Wahoo Fitness,Atlanta,Fitness,50.0,,2022-04-27,United States
Robinhood,SF Bay Area,Finance,340.0,0.09,2022-04-26,United States
Bonsai,Toronto,Retail,29.0,0.34,2022-04-26,Canada
Sigfox,Toulouse,Other,64.0,,2022-04-25,France
Clyde,New York City,Marketing,22.0,,2022-04-25,United States
Xiaohongshu,Shanghai,Consumer,180.0,0.09,2022-04-21,China
Facily,Sao Paulo,Retail,260.0,0.3,2022-04-20,Brazil
Lemonade,New York City,Finance,52.0,,2022-04-20,United States
Blend,SF Bay Area,Finance,200.0,0.1,2022-04-19,United States
QuintoAndar,Sao Paulo,Real Estate,160.0,0.04,2022-04-19,Brazil
Loft,Sao Paulo,Real Estate,159.0,,2022-04-19,Brazil
Better.com,New York City,Real Estate,,,2022-04-19,United States
Automox,Boulder,Infrastructure,,0.11,2022-04-18,United States
Humble,SF Bay Area,Media,10.0,,2022-04-15,United States
Halcyon Health,New York City,Healthcare,,1.0,2022-04-15,United States
Ahead,SF Bay Area,Healthcare,44.0,1.0,2022-04-14,United States
Truepill,SF Bay Area,Healthcare,,,2022-04-14,United States
Rad Power Bikes,Seattle,Transportation,100.0,0.14,2022-04-12,United States
Meesho,Bengaluru,Retail,150.0,,2022-04-11,India
Food52,New York City,Food,20.0,0.1,2022-04-08,United States
Unacademy,Bengaluru,Education,1000.0,0.17,2022-04-07,India
Goodfood,Calgary,Food,70.0,,2022-04-07,Canada
Workrise,Austin,Energy,450.0,,2022-04-05,United States
Fast,SF Bay Area,Finance,,1.0,2022-04-05,United States
BitMEX,Non-U.S.,Crypto,75.0,0.25,2022-04-04,Seychelles
Legible,Vancouver,Media,23.0,0.38,2022-04-04,Canada
